godina;sifra;naziv;iznos_eur;broj_isplata;broj_primatelja;udio_posto
2024;3111;PLAĆE ZA REDOVAN RAD;302585336.23;5021;305;18.48
2024;3512;SUBVENCIJE TRGOVAČKIM DRUŠTVIMA U JAVNOM SEKTORU;218151769.08;115;10;13.32
2024;3232;USLUGE TEKUĆEG I INVESTICIJSKOG ODRŽAVANJA;209184789.36;9616;685;12.78
2024;3811;TEKUĆE DONACIJE U NOVCU;72025598.54;5752;1009;4.40
2024;5443;OTPLATA GLAVNICE PRIMLJENIH KREDITA OD TUZEMNIH KREDITNIH INSTITUCIJA IZVAN JAVNOG SEKTORA;62897200.69;458;31;3.84
2024;3861;KAPITALNE POMOĆI KREDITNIM I OSTALIM FINANCIJSKIM INSTITUCIJAMA TE TRGOVAČKIM DRUŠTVIMA U JAVNOM SEK;50591199.17;62;5;3.09
2024;4511;DODATNA ULAGANJA NA GRAĐEVINSKIM OBJEKTIMA;48532311.20;726;182;2.96
2024;3132;DOPRINOSI ZA OBVEZNO ZDRAVSTVENO OSIGURANJE;47696234.95;4665;303;2.91
2024;4212;POSLOVNI OBJEKTI;47209786.09;497;100;2.88
2024;4214;OSTALI GRAĐEVINSKI OBJEKTI;41357878.66;1328;176;2.53
2024;9999;NIJE DEFINIRANO;41183041.05;70;2;2.52
2024;3721;NAKNADE GRAĐANIMA I KUĆANSTVIMA U NOVCU;41129343.60;980;122;2.51
2024;3223;ENERGIJA;35336213.83;16509;320;2.16
2024;3235;ZAKUPNINE I NAJAMNINE;33347878.35;2140;133;2.04
2024;3239;OSTALE USLUGE;32953999.26;6182;450;2.01
2024;3722;NAKNADE GRAĐANIMA I KUĆANSTVIMA U NARAVI;30844138.14;6085;271;1.88
2024;3121;OSTALI RASHODI ZA ZAPOSLENE;28491737.25;6222;283;1.74
2024;3631;TEKUĆE POMOĆI UNUTAR OPĆEG PRORAČUNA;21923559.09;25;3;1.34
2024;3234;KOMUNALNE USLUGE;20488133.70;24414;413;1.25
2024;3222;MATERIJAL I SIROVINE;20144800.97;2911;293;1.23
2024;4221;UREDSKA OPREMA I NAMJEŠTAJ;17228244.74;695;228;1.05
2024;5321;DIONICE I UDJELI U GLAVNICI TRGOVAČKIH DRUŠTAVA U JAVNOM SEKTORU;16683044.92;4;4;1.02
2024;23111;OBVEZE ZA ZAPOSLENE I PRIVREMENO ZAPOSLENE;16151575.67;720;60;0.99
2024;23955;OBVEZE ZA NAPLAĆENE TUĐE PRIHODE;13730196.38;1467;192;0.84
2024;3299;OSTALI NESPOMENUTI RASHODI POSLOVANJA;13498871.31;5098;623;0.82
2024;4111;ZEMLJIŠTE;12873169.32;18;9;0.79
2024;3237;INTELEKTUALNE I OSOBNE USLUGE;12684931.74;8992;487;0.77
2024;3661;TEKUĆE POMOĆI PRORAČUNSKIM KORISNICIMA DRUGIH PRORAČUNA;11799210.15;271;28;0.72
2024;3212;NAKNADE ZA PRIJEVOZ, ZA RAD NA TERENU I ODVOJENI ŽIVOT;9537648.00;5395;323;0.58
2024;3238;RAČUNALNE USLUGE;8889370.87;4574;365;0.54
2024;4213;CESTE, ŽELJEZNICE I OSTALI PROMETNI OBJEKTI;8406723.36;885;68;0.51
2024;3831;NAKNADE ŠTETA PRAVNIM I FIZIČKIM OSOBAMA;6687101.10;4085;66;0.41
